
# Surface 0 of 1 surfaces

# Curve title: "filename using 2:3:(-$7*1000)"

# Contour 0, label:       12
-40.5148  154.545  3 
-39.6959  150.909  3 
-39.3211  147.273  3 
-39.4218  143.636  3 
-40.0692  140  3 
-41.3236  136.364  3 

 30.1097 -70.9091  3 
 30.9091 -71.959  3 
 32.8818 -74.5455  3 
 34.5455 -77.6136  3 
 34.8625 -78.1818  3 
 35.8917 -81.8182  3 
 35.8897 -85.4545  3 
 35.1369 -89.0909  3 
 34.5455 -90.7994  3 
 33.9284 -92.7273  3 
 32.5173 -96.3636  3 
 31.0537 -100  3 
 30.9091 -100.361  3 
 29.5962 -103.636  3 
 28.1406 -107.273  3 
 27.2727 -109.471  3 
 26.6856 -110.909  3 
 25.2654 -114.545  3 
 23.9364 -118.182  3 
 23.6364 -119.127  3 
 22.7753 -121.818  3 
 21.8196 -125.455  3 
 20.9997 -129.091  3 
 20.2694 -132.727  3 
 20 -134.176  3 
 19.5623 -136.364  3 
 18.7821 -140  3 
 17.8288 -143.636  3 
 16.9112 -147.273  3 
 16.3636 -149.982  3 
 16.1571 -150.909  3 
 15.6783 -154.545  3 
 15.645 -158.182  3 
 16.2118 -161.818  3 
 16.3636 -162.276  3 
 17.4081 -165.455  3 
 19.2786 -169.091  3 
 20 -170.174  3 
 21.6599 -172.727  3 
 23.6364 -175.363  3 
 24.3676 -176.364  3 
 27.0868 -180  3 

 44.0196 -1.81818  3 
 41.8182 -0.0981995  3 
 39.6212  1.81818  3 
 38.1818  3.13514  3 
 35.6946  5.45455  3 
 34.5455  6.48906  3 
 31.4111  9.09091  3 
 30.9091  9.4791  3 
 27.2727  12.1431  3 
 26.4788  12.7273  3 
 23.6364  14.6505  3 
 21.221  16.3636  3 
 20  17.2016  3 
 16.4475  20  3 
 16.3636  20.0722  3 
 12.7273  23.1575  3 
 12.1027  23.6364  3 
 9.09091  25.9873  3 
 7.25355  27.2727  3 
 5.45455  28.5218  3 
 1.81818  30.8806  3 
 1.77402  30.9091  3 
-1.81818  33.1508  3 
-4.15152  34.5455  3 
-5.45455  35.3339  3 
-9.09091  37.3601  3 
-10.8289  38.1818  3 
-12.7273  39.1599  3 
-16.3636  40.7453  3 
-18.9552  41.8182  3 
-20  42.3471  3 
-23.6364  44.3759  3 
-25.6247  45.4545  3 
-27.2727  46.3901  3 
-30.9091  48.1606  3 
-33.3218  49.0909  3 
-34.5455  49.5576  3 
-38.1818  50.514  3 
-41.8182  51.0627  3 
-45.4545  51.1607  3 
-49.0909  50.413  3 
-50.936  49.0909  3 
-52.7035  45.4545  3 
-52.7273  45.2318  3 
-52.978  41.8182  3 
-52.7273  38.3732  3 
-52.7142  38.1818  3 
-52.015  34.5455  3 
-50.9425  30.9091  3 
-49.5389  27.2727  3 
-49.0909  26.2991  3 
-47.8595  23.6364  3 
-46.0456  20  3 
-45.4545  18.8492  3 
-44.2784  16.3636  3 
-42.4827  12.7273  3 
-41.8182  11.5606  3 
-40.5181  9.09091  3 
-38.2262  5.45455  3 
-38.1818  5.39078  3 
-35.7953  1.81818  3 
-34.5455  0.00323825  3 
-33.2561 -1.81818  3 
-30.9091 -5.02173  3 
-30.5804 -5.45455  3 
-27.6917 -9.09091  3 
-27.2727 -9.57187  3 
-24.5354 -12.7273  3 
-23.6364 -13.6542  3 
-21.102 -16.3636  3 
-20 -17.4874  3 
-17.7534 -20  3 
-16.3636 -21.7004  3 
-14.737 -23.6364  3 
-12.7273 -26.0955  3 
-11.6881 -27.2727  3 
-9.09091 -30.1905  3 
-8.41334 -30.9091  3 
-5.45455 -33.898  3 
-4.79886 -34.5455  3 
-1.81818 -37.3608  3 
-0.972817 -38.1818  3 
 1.81818 -41.15  3 
 2.43174 -41.8182  3 
 5.39496 -45.4545  3 
 5.45455 -45.5343  3 
 8.37438 -49.0909  3 
 9.09091 -49.9808  3 
 11.5233 -52.7273  3 
 12.7273 -54.0356  3 
 14.9868 -56.3636  3 
 16.3636 -57.705  3 
 18.7814 -60  3 
 20 -61.1236  3 
 22.781 -63.6364  3 
 23.6364 -64.4373  3 
 26.6741 -67.2727  3 
 27.2727 -67.9013  3 
 30.1097 -70.9091  3 

 116.808 -180  3 
 118.182 -179.094  3 
 121.818 -176.443  3 
 121.917 -176.364  3 
 125.455 -173.486  3 
 126.281 -172.727  3 
 129.091 -170.018  3 
 129.963 -169.091  3 
 132.727 -165.876  3 
 133.07 -165.455  3 
 135.726 -161.818  3 
 136.364 -160.833  3 
 138.081 -158.182  3 
 140 -154.901  3 
 140.214 -154.545  3 
 142.181 -150.909  3 
 143.636 -147.999  3 
 144.013 -147.273  3 
 145.81 -143.636  3 
 147.273 -140.74  3 
 147.65 -140  3 
 149.526 -136.364  3 
 150.909 -133.744  3 
 151.424 -132.727  3 
 153.303 -129.091  3 
 154.545 -126.793  3 
 155.214 -125.455  3 
 157.075 -121.818  3 
 158.182 -119.597  3 
 158.798 -118.182  3 
 160.259 -114.545  3 
 161.656 -110.909  3 
 161.818 -110.465  3 
 162.84 -107.273  3 
 163.872 -103.636  3 
 164.688 -100  3 
 165.242 -96.3636  3 
 165.455 -94.0961  3 
 165.571 -92.7273  3 
 165.717 -89.0909  3 
 165.699 -85.4545  3 
 165.486 -81.8182  3 
 165.455 -81.5752  3 
 164.961 -78.1818  3 
 164.134 -74.5455  3 
 163.126 -70.9091  3 
 162.049 -67.2727  3 
 161.818 -66.4996  3 
 160.748 -63.6364  3 
 159.278 -60  3 
 158.182 -57.7117  3 
 157.291 -56.3636  3 
 154.771 -52.7273  3 
 154.545 -52.4095  3 
 151.224 -49.0909  3 
 150.909 -48.8012  3 
 147.273 -46.4239  3 
 145.326 -45.4545  3 
 143.636 -44.7075  3 
 140 -43.3094  3 
 136.364 -41.9382  3 
 136.033 -41.8182  3 
 132.727 -40.708  3 
 129.091 -39.6862  3 
 125.455 -38.9587  3 
 121.818 -38.6095  3 
 118.182 -38.7431  3 
 114.545 -39.3387  3 
 110.909 -40.2534  3 
 107.273 -41.3656  3 
 105.867 -41.8182  3 
 103.636 -42.568  3 
 100 -43.6969  3 
 96.3636 -44.5667  3 
 92.7273 -44.996  3 
 89.0909 -44.7613  3 
 85.4545 -43.6217  3 
 82.4972 -41.8182  3 
 81.8182 -41.4361  3 
 78.1818 -38.3145  3 
 78.0638 -38.1818  3 
 74.5615 -34.5455  3 
 74.5455 -34.5301  3 
 71.3487 -30.9091  3 
 70.9091 -30.4321  3 
 68.2985 -27.2727  3 
 67.2727 -26.0491  3 
 65.3505 -23.6364  3 
 63.6364 -21.4965  3 
 62.433 -20  3 
 60 -16.9813  3 
 59.4776 -16.3636  3 
 56.3648 -12.7273  3 
 52.8453 -9.09091  3 
 52.7273 -8.97916  3 
 49.0909 -5.81007  3 
 48.6759 -5.45455  3 
 45.4545 -2.95855  3 
 44.0196 -1.81818  3 

 118.451  180  3 
 118.182  179.781  3 
 114.545  177.263  3 
 113.111  176.364  3 
 110.909  175.116  3 
 107.273  173.214  3 
 106.276  172.727  3 
 103.636  171.515  3 
 100  169.948  3 
 97.93  169.091  3 
 96.3636  168.448  3 
 92.7273  167.003  3 
 89.0909  165.65  3 
 88.4841  165.455  3 
 85.4545  164.459  3 
 81.8182  163.514  3 
 78.1818  162.862  3 
 74.5455  162.52  3 
 70.9091  162.476  3 
 67.2727  162.702  3 
 63.6364  163.152  3 
 60  163.74  3 
 56.3636  164.401  3 
 52.7273  165.213  3 
 51.8529  165.455  3 
 49.0909  166.234  3 
 45.4545  167.508  3 
 41.8182  169.075  3 
 41.7868  169.091  3 
 38.1818  171.02  3 
 35.5256  172.727  3 
 34.5455  173.424  3 
 30.9237  176.364  3 
 30.9091  176.377  3 
 27.2727  179.918  3 
 27.1893  180  3 


# Contour 4, label:        0
-41.8182 -8.00112  0 
-43.5198 -5.45455  0 
-45.4545 -2.65598  0 
-46.0715 -1.81818  0 
-48.7922  1.81818  0 
-49.0909  2.23399  0 
-51.4654  5.45455  0 
-52.7273  7.3548  0 
-53.8862  9.09091  0 
-56.0797  12.7273  0 
-56.3636  13.2338  0 
-58.1231  16.3636  0 
-60  20  0 
-61.7865  23.6364  0 
-63.377  27.2727  0 
-63.6364  27.9366  0 
-64.847  30.9091  0 
-66.1839  34.5455  0 
-67.2727  37.6228  0 
-67.4834  38.1818  0 
-68.8662  41.8182  0 
-70.2948  45.4545  0 
-70.9091  47.0646  0 
-71.7678  49.0909  0 
-73.1223  52.7273  0 
-74.2334  56.3636  0 
-74.5455  57.5462  0 
-75.3837  60  0 
-77.0378  63.6364  0 
-78.1818  65.3788  0 
-80.6484  67.2727  0 
-81.8182  68.0506  0 
-85.4545  69.3202  0 
-89.0909  69.9052  0 
-92.7273  69.8864  0 
-96.3636  69.0797  0 
-100  67.4406  0 
-100.338  67.2727  0 
-103.636  65.8521  0 
-107.273  64.7775  0 
-110.909  64.182  0 
-114.545  64.027  0 
-118.182  64.365  0 
-121.818  65.3788  0 
-125.071  67.2727  0 
-125.455  67.5407  0 
-128.193  70.9091  0 
-129.091  72.2753  0 
-130.139  74.5455  0 
-132.007  78.1818  0 
-132.727  79.1401  0 
-134.711  81.8182  0 
-136.364  83.2125  0 
-140  85.233  0 
-140.942  85.4545  0 
-143.636  86.0952  0 
-147.273  86.5084  0 
-150.909  87.1265  0 
-154.219  89.0909  0 
-154.545  89.3944  0 
