
# Surface 0 of 1 surfaces

# Curve title: "'test.dat'"

# Contour 0, label:      565
 62.0168 -101.334  200 
 58.9916 -99.7879  200 
 55.9664 -98.3454  200 
 55.911 -98.3193  200 
 52.9412 -97.043  200 
 49.916 -95.7195  200 
 48.95 -95.2941  200 
 46.8908 -94.4412  200 
 43.8655 -93.1966  200 
 41.5631 -92.2689  200 
 40.8403 -91.9882  200 
 37.8151 -90.8446  200 
 34.7899 -89.718  200 
 33.4992 -89.2437  200 
 31.7647 -88.6157  200 
 28.7395 -87.526  200 
 25.7143 -86.4267  200 
 25.1419 -86.2185  200 
 22.6891 -85.3273  200 
 19.6639 -84.1992  200 
 17.0863 -83.1933  200 
 16.6387 -83.0155  200 
 13.6134 -81.7876  200 
 10.5882 -80.512  200 
 9.78573 -80.1681  200 
 7.56303 -79.2032  200 
 4.53782 -77.8496  200 
 3.00885 -77.1429  200 
 1.51261 -76.4431  200 
-1.51261 -74.9695  200 
-3.16698 -74.1176  200 
-4.53782 -73.3934  200 
-7.56303 -71.6894  200 
-8.56891 -71.0924  200 
-10.5882 -69.8408  200 
-13.2796 -68.0672  200 
-13.6134 -67.8359  200 
-16.6387 -65.7052  200 
-17.5686 -65.042  200 
-19.6639 -63.4811  200 
-21.6531 -62.0168  200 
-22.6891 -61.2502  200 
-25.7143 -59.033  200 
-25.7712 -58.9916  200 
-28.7395 -56.8316  200 
-29.8938 -55.9664  200 
-31.7647 -54.5689  200 
-33.9024 -52.9412  200 
-34.7899 -52.2644  200 
-37.8145 -49.916  200 
-40.8403 -47.4843  200 
-41.5313 -46.8908  200 
-43.8655 -44.7891  200 
-44.797 -43.8655  200 
-46.8908 -41.6769  200 
-47.6095 -40.8403  200 
-49.916 -38.0076  200 
-50.0578 -37.8151  200 
-52.2592 -34.7899  200 
-52.9412 -33.8083  200 
-54.2668 -31.7647  200 
-55.9664 -28.9116  200 
-56.0652 -28.7395  200 
-57.7644 -25.7143  200 
-58.9916 -23.3217  200 
-59.3257 -22.6891  200 
-61.0225 -19.6639  200 
-62.0168 -18.0065  200 
-62.8854 -16.6387  200 
-64.7231 -13.6134  200 
-65.042 -13.053  200 
-66.5203 -10.5882  200 
-68.0672 -7.78178  200 
-68.1945 -7.56303  200 


# Contour 5, label:      100
-180 -87.981  100 
-177.973 -86.2185  100 
-176.975 -84.7555  100 
-176.149 -83.1933  100 
-175.746 -80.1681  100 
-176.52 -77.1429  100 
-176.975 -76.3928  100 
-178.636 -74.1176  100 
-180 -72.8309  100 

 180  73.9973  100 
 179.856  74.1176  100 
 177.374  77.1429  100 
 176.975  78.4303  100 
 176.513  80.1681  100 
 176.975  81.9695  100 
 177.359  83.1933  100 
 180  86.0757  100 

-22.6891  99.6763  100 
-25.7143  100.711  100 
-27.5384  101.345  100 
-28.7395  101.804  100 
-31.7647  102.992  100 
-34.7899  104.223  100 
-35.1238  104.37  100 
-37.8151  105.711  100 
-40.8403  107.368  100 
-40.8857  107.395  100 
-43.8655  109.406  100 
-45.2759  110.42  100 
-46.8908  111.745  100 
-48.8603  113.445  100 
-49.916  114.494  100 
-51.847  116.471  100 
-52.9412  117.747  100 
-54.4448  119.496  100 
-55.9664  121.454  100 
-56.8378  122.521  100 
-58.9916  125.357  100 
-59.1501  125.546  100 
-61.4766  128.571  100 
-62.0168  129.33  100 
-63.8662  131.597  100 
-65.042  133.123  100 
-66.4239  134.622  100 
-68.0672  136.469  100 
-69.371  137.647  100 
-71.0924  139.245  100 
-73.1123  140.672  100 
-74.1176  141.399  100 
-77.1429  142.904  100 
-80.1681  143.692  100 
-80.2958  143.697  100 
-83.1933  143.831  100 
-84.0645  143.697  100 
-86.2185  143.387  100 
-89.2437  142.463  100 
-92.2689  141.099  100 
-93.0137  140.672  100 
-95.2941  139.44  100 
-98.0987  137.647  100 
-98.3193  137.513  100 
-101.345  135.478  100 
-102.517  134.622  100 
-104.37  133.299  100 
-106.585  131.597  100 
-107.395  130.984  100 
-110.385  128.571  100 
-110.42  128.544  100 
-113.445  126.033  100 
-114.011  125.546  100 
-116.471  123.477  100 
-117.603  122.521  100 
-119.496  120.988  100 
-121.48  119.496  100 
-122.521  118.756  100 
-125.546  116.702  100 
-125.898  116.471  100 
-128.571  114.678  100 
-130.402  113.445  100 
-131.597  112.594  100 
-134.597  110.42  100 
